,NAME_FAMILY_STATUS,NAME_EDUCATION_TYPE,OCCUPATION_TYPE,NAME_CONTRACT_TYPE,CODE_GENDER,DAYS_BIRTH,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,ANNUITY_INCOME_PERC,AMT_CREDIT,AMT_ANNUITY,INCOME_CREDIT_PERC
240,Widow,Secondary / secondary special,n.a.,Cash loans,0,65,0,180000.0,0.0911,254700.0,16407.0,0.7065
241,Widow,Secondary / secondary special,Sales staff,Cash loans,1,49,0,112500.0,0.1947,675000.0,21906.0,0.1666
242,Single / not married,Higher education,Managers,Revolving loans,1,25,0,73341.0,0.09204,135000.0,6750.0,0.5435
243,Civil marriage,Secondary / secondary special,Sales staff,Cash loans,1,34,0,135000.0,0.2834,747000.0,38268.0,0.1807
244,Married,Higher education,Laborers,Cash loans,0,39,0,180000.0,0.1659,675000.0,29862.0,0.2666
245,Civil marriage,Secondary / secondary special,Cooking staff,Revolving loans,1,29,0,112500.0,0.08,180000.0,9000.0,0.625
246,Married,Secondary / secondary special,Drivers,Cash loans,0,48,0,121500.0,0.1423,263686.5,17298.0,0.4607
247,Married,Higher education,n.a.,Cash loans,1,68,0,202500.0,0.11053,225000.0,22383.0,0.9
248,Civil marriage,Secondary / secondary special,Laborers,Cash loans,1,27,1,157500.0,0.1389,450000.0,21888.0,0.35
249,Married,Higher education,Managers,Cash loans,0,40,1,202500.0,0.1327,526491.0,26878.5,0.3845
250,Separated,Secondary / secondary special,Core staff,Cash loans,0,40,1,135000.0,0.1312,224136.0,17707.5,0.6025
251,Married,Incomplete higher,Sales staff,Cash loans,1,32,1,153000.0,0.0938,292500.0,14355.0,0.523
252,Married,Secondary / secondary special,n.a.,Cash loans,1,58,0,202500.0,0.1475,675000.0,29862.0,0.3
253,Married,Higher education,Managers,Cash loans,1,39,0,202500.0,0.3257,1271281.5,65956.5,0.1593
254,Widow,Secondary / secondary special,Core staff,Cash loans,1,57,0,157500.0,0.2247,835380.0,35392.5,0.1885
255,Single / not married,Secondary / secondary special,Laborers,Cash loans,0,31,1,225000.0,0.138,1019205.0,31032.0,0.2207
256,Married,Secondary / secondary special,Drivers,Cash loans,0,47,0,225000.0,0.1077,223884.0,24241.5,1.005
257,Married,Secondary / secondary special,Drivers,Cash loans,0,28,1,135000.0,0.1263,334152.0,17059.5,0.404
258,Married,Secondary / secondary special,Managers,Cash loans,1,44,0,270000.0,0.1803,473760.0,48676.5,0.57
259,Married,Secondary / secondary special,Medicine staff,Revolving loans,1,52,0,112500.0,0.24,540000.0,27000.0,0.2084
260,Single / not married,Secondary / secondary special,Sales staff,Cash loans,0,33,1,63000.0,0.3567,426645.0,22468.5,0.1477
261,Married,Secondary / secondary special,Laborers,Cash loans,0,22,0,112500.0,0.2766,571486.5,31131.0,0.1969
262,Civil marriage,Secondary / secondary special,Sales staff,Cash loans,1,24,0,180000.0,0.05142,187704.0,9256.5,0.959
263,Widow,Secondary / secondary special,n.a.,Cash loans,1,65,0,292500.0,0.0537,254700.0,15709.5,1.148
264,Single / not married,Secondary / secondary special,n.a.,Revolving loans,1,62,0,225000.0,0.15,675000.0,33750.0,0.3333
265,Single / not married,Incomplete higher,Sales staff,Cash loans,0,24,0,135000.0,0.1183,237024.0,15970.5,0.5693
266,Married,Secondary / secondary special,Managers,Cash loans,0,45,0,225000.0,0.1592,451804.5,35824.5,0.498
267,Married,Higher education,Sales staff,Cash loans,0,39,1,157500.0,0.139,208512.0,21892.5,0.7554
268,Married,Secondary / secondary special,Laborers,Cash loans,1,44,0,157500.0,0.0969,263686.5,15268.5,0.597
269,Married,Higher education,n.a.,Cash loans,0,40,1,180000.0,0.174,1071000.0,31315.5,0.1681
270,Married,Higher education,n.a.,Cash loans,1,61,0,87750.0,0.4036,1206954.0,35419.5,0.0727
271,Married,Secondary / secondary special,Laborers,Cash loans,0,29,1,292500.0,0.08875,239850.0,25960.5,1.22
272,Married,Higher education,Sales staff,Cash loans,1,27,0,121500.0,0.1733,288873.0,21064.5,0.4207
273,Married,Secondary / secondary special,Core staff,Cash loans,1,41,0,67500.0,0.3926,622413.0,26500.5,0.10846
274,Married,Higher education,Core staff,Cash loans,1,46,0,180000.0,0.1691,630000.0,30438.0,0.2856
275,Single / not married,Higher education,Core staff,Cash loans,1,26,1,90000.0,0.1345,381528.0,12109.5,0.2358
276,Married,Higher education,n.a.,Cash loans,1,31,0,135000.0,0.2434,781920.0,32868.0,0.1726
277,Married,Secondary / secondary special,High skill tech staff,Cash loans,0,32,0,225000.0,0.2195,481855.5,49374.0,0.467
278,Civil marriage,Secondary / secondary special,n.a.,Cash loans,0,37,1,270000.0,0.11664,521280.0,31500.0,0.518
279,Married,Secondary / secondary special,Laborers,Cash loans,0,52,0,225000.0,0.11945,254700.0,26874.0,0.8833
280,Married,Higher education,Managers,Cash loans,0,49,0,450000.0,0.124,1575000.0,55800.0,0.2856
281,Separated,Secondary / secondary special,Sales staff,Cash loans,1,28,0,112500.0,0.1624,152820.0,18265.5,0.7363
282,Married,Secondary / secondary special,Laborers,Cash loans,1,55,0,135000.0,0.2316,640080.0,31261.5,0.2109
283,Civil marriage,Secondary / secondary special,n.a.,Cash loans,0,60,0,36000.0,0.3013,284400.0,10849.5,0.1266
284,Married,Secondary / secondary special,n.a.,Cash loans,0,55,0,180000.0,0.1797,407727.0,32341.5,0.4414
285,Married,Secondary / secondary special,Core staff,Cash loans,1,43,1,171000.0,0.2463,1270746.0,42124.5,0.1345
286,Married,Secondary / secondary special,n.a.,Cash loans,1,54,0,135000.0,0.1312,247275.0,17716.5,0.546
287,Widow,Secondary / secondary special,n.a.,Cash loans,1,64,0,157500.0,0.1312,545040.0,20677.5,0.289
288,Married,Incomplete higher,Core staff,Cash loans,1,28,0,382500.0,0.079,450000.0,30204.0,0.85
289,Married,Secondary / secondary special,Security staff,Cash loans,0,51,0,90000.0,0.1215,101880.0,10939.5,0.8833
290,Widow,Secondary / secondary special,n.a.,Cash loans,1,64,0,63000.0,0.3132,675000.0,19737.0,0.0933
291,Single / not married,Secondary / secondary special,Laborers,Cash loans,1,38,0,157500.0,0.1821,497520.0,28692.0,0.3167
292,Single / not married,Higher education,Realty agents,Cash loans,1,25,0,270000.0,0.0987,545040.0,26640.0,0.4954
293,Civil marriage,Secondary / secondary special,High skill tech staff,Cash loans,1,58,1,270000.0,0.0862,630000.0,23274.0,0.4285
294,Married,Secondary / secondary special,Laborers,Revolving loans,0,59,0,166500.0,0.1487,495000.0,24750.0,0.3364
295,Married,Secondary / secondary special,High skill tech staff,Cash loans,1,35,1,202500.0,0.2177,787131.0,44082.0,0.2573
296,Widow,Secondary / secondary special,Laborers,Cash loans,0,55,0,76500.0,0.2703,545040.0,20677.5,0.1404
297,Single / not married,Secondary / secondary special,Laborers,Cash loans,0,23,1,90000.0,0.1203,101880.0,10827.0,0.8833
298,Single / not married,Secondary / secondary special,Drivers,Cash loans,0,29,0,315000.0,0.0143,90000.0,4504.5,3.5
299,Married,Higher education,Laborers,Cash loans,0,30,1,112500.0,0.1302,225000.0,14647.5,0.5
300,Married,Secondary / secondary special,Laborers,Cash loans,1,57,1,157500.0,0.1085,450000.0,17095.5,0.35
301,Separated,Higher education,Core staff,Cash loans,1,48,0,180000.0,0.1433,582804.0,25803.0,0.3088
302,Married,Secondary / secondary special,n.a.,Cash loans,1,58,1,81000.0,0.2854,640080.0,23121.0,0.1266
303,Married,Incomplete higher,n.a.,Cash loans,1,28,1,135000.0,0.3555,1223010.0,47983.5,0.1104
304,Widow,Secondary / secondary special,n.a.,Cash loans,1,63,1,108000.0,0.2172,364896.0,23449.5,0.296
305,Married,Secondary / secondary special,n.a.,Cash loans,1,62,0,112500.0,0.283,481495.5,31833.0,0.2336
306,Married,Secondary / secondary special,n.a.,Cash loans,1,61,1,69750.0,0.2954,675000.0,20596.5,0.10333
307,Widow,Secondary / secondary special,Sales staff,Cash loans,1,49,0,81000.0,0.238,536917.5,19282.5,0.1509
308,Single / not married,Secondary / secondary special,Sales staff,Revolving loans,1,25,0,112500.0,0.06,135000.0,6750.0,0.8335
309,Married,Secondary / secondary special,n.a.,Cash loans,0,25,0,315000.0,0.1362,946503.0,42898.5,0.3328
310,Widow,Secondary / secondary special,Cleaning staff,Cash loans,1,57,0,180000.0,0.083,188685.0,14944.5,0.954
311,Civil marriage,Incomplete higher,Accountants,Revolving loans,1,25,0,225000.0,0.04,180000.0,9000.0,1.25
312,Married,Secondary / secondary special,Laborers,Cash loans,0,40,0,112500.0,0.09924,226908.0,11164.5,0.4958
313,Married,Secondary / secondary special,n.a.,Revolving loans,1,53,1,67500.0,0.15,202500.0,10125.0,0.3333
314,Married,Secondary / secondary special,Laborers,Cash loans,0,46,0,270000.0,0.2322,1800000.0,62698.5,0.15
315,Civil marriage,Secondary / secondary special,Sales staff,Cash loans,1,47,0,157500.0,0.1704,807984.0,26833.5,0.195
316,Married,Higher education,Core staff,Cash loans,1,40,0,360000.0,0.136,493497.0,48942.0,0.7295
317,Married,Secondary / secondary special,Laborers,Cash loans,1,47,1,315000.0,0.09546,1024290.0,30078.0,0.3076
318,Married,Higher education,n.a.,Cash loans,1,55,0,247500.0,0.0794,517788.0,19647.0,0.478
319,Single / not married,Higher education,Managers,Revolving loans,0,32,0,765000.0,0.08826,1350000.0,67500.0,0.567
320,Married,Secondary / secondary special,n.a.,Cash loans,1,30,0,166500.0,0.1456,675000.0,24246.0,0.2467
321,Married,Secondary / secondary special,Laborers,Cash loans,1,52,0,157500.0,0.1431,528633.0,22527.0,0.2979
322,Married,Secondary / secondary special,n.a.,Cash loans,1,63,0,45000.0,0.3606,448056.0,16222.5,0.10046
323,Civil marriage,Higher education,Core staff,Cash loans,1,40,0,450000.0,0.06995,808650.0,31464.0,0.5566
324,Married,Secondary / secondary special,n.a.,Cash loans,1,60,1,90000.0,0.3308,531000.0,29781.0,0.1694
325,Married,Secondary / secondary special,Core staff,Cash loans,1,41,1,225000.0,0.2057,906228.0,46269.0,0.2483
326,Married,Secondary / secondary special,Laborers,Cash loans,1,41,0,112500.0,0.3765,1308964.5,42354.0,0.08594
327,Married,Higher education,n.a.,Cash loans,0,59,0,180000.0,0.1696,942300.0,30528.0,0.191
328,Married,Secondary / secondary special,Drivers,Cash loans,0,51,0,360000.0,0.05624,254700.0,20250.0,1.413
329,Married,Higher education,High skill tech staff,Cash loans,0,39,1,157500.0,0.1616,239850.0,25447.5,0.6567
330,Widow,Secondary / secondary special,Sales staff,Cash loans,1,41,0,247500.0,0.10596,808650.0,26217.0,0.3062
331,Married,Secondary / secondary special,Drivers,Cash loans,0,52,0,112500.0,0.2712,942300.0,30528.0,0.1194
332,Married,Higher education,High skill tech staff,Cash loans,1,41,0,630000.0,0.0913,900000.0,57519.0,0.7
333,Single / not married,Higher education,n.a.,Cash loans,1,30,1,121500.0,0.0949,302544.0,11533.5,0.4016
334,Married,Secondary / secondary special,Drivers,Cash loans,0,37,1,180000.0,0.1163,640080.0,20929.5,0.2812
335,Married,Secondary / secondary special,Drivers,Cash loans,0,36,0,292500.0,0.149,1095817.5,43587.0,0.2668
336,Separated,Secondary / secondary special,Secretaries,Cash loans,1,51,0,99000.0,0.2091,518562.0,20695.5,0.1909
337,Married,Higher education,Core staff,Cash loans,0,38,0,247500.0,0.2773,1971072.0,68643.0,0.1256
338,Married,Higher education,High skill tech staff,Cash loans,1,32,1,90000.0,0.1642,555273.0,14778.0,0.1621
339,Single / not married,Secondary / secondary special,Sales staff,Cash loans,1,50,0,153000.0,0.1714,808650.0,26217.0,0.1892
340,Civil marriage,Secondary / secondary special,Laborers,Revolving loans,0,33,1,180000.0,0.05,180000.0,9000.0,1.0
341,Married,Higher education,Core staff,Cash loans,0,41,0,405000.0,0.1469,2250000.0,59485.5,0.18
342,Married,Secondary / secondary special,n.a.,Cash loans,0,64,0,112500.0,0.0981,178290.0,11034.0,0.631
343,Married,Secondary / secondary special,Drivers,Cash loans,0,45,0,225000.0,0.1425,888840.0,32053.5,0.2532
344,Single / not married,Secondary / secondary special,n.a.,Cash loans,0,37,1,112500.0,0.2252,417024.0,25330.5,0.2698
345,Married,Secondary / secondary special,Medicine staff,Cash loans,1,62,0,144000.0,0.2605,1417185.0,37512.0,0.1016
346,Civil marriage,Secondary / secondary special,Cleaning staff,Cash loans,1,54,0,81000.0,0.1069,180000.0,8658.0,0.45
347,Married,Secondary / secondary special,n.a.,Cash loans,1,63,1,270000.0,0.1054,536917.5,28467.0,0.503
348,Separated,Secondary / secondary special,n.a.,Cash loans,1,55,0,202500.0,0.0823,343683.0,16663.5,0.5894
349,Single / not married,Secondary / secondary special,n.a.,Cash loans,1,54,0,81000.0,0.2695,276277.5,21825.0,0.2932
350,Married,Higher education,Sales staff,Cash loans,0,29,0,315000.0,0.1257,1350000.0,39604.5,0.2333
351,Single / not married,Secondary / secondary special,Core staff,Cash loans,0,23,0,180000.0,0.1223,450000.0,22018.5,0.4
352,Married,Secondary / secondary special,n.a.,Cash loans,1,57,0,135000.0,0.2527,468648.0,34101.0,0.288
353,Married,Higher education,Security staff,Cash loans,1,31,1,157500.0,0.1698,521280.0,26743.5,0.3022
354,Separated,Incomplete higher,Cleaning staff,Cash loans,1,43,0,81000.0,0.36,454500.0,29173.5,0.1782
355,Single / not married,Incomplete higher,Drivers,Cash loans,0,28,0,112500.0,0.2074,454500.0,23337.0,0.2476
356,Married,Secondary / secondary special,Managers,Cash loans,1,39,1,180000.0,0.3127,1258650.0,56277.0,0.1431
357,Married,Higher education,Managers,Cash loans,0,53,1,450000.0,0.0743,1035832.5,33412.5,0.4343
358,Married,Secondary / secondary special,Medicine staff,Cash loans,1,30,0,135000.0,0.1874,318528.0,25294.5,0.4238
359,Married,Secondary / secondary special,n.a.,Cash loans,0,62,0,90000.0,0.1039,90000.0,9351.0,1.0
360,Single / not married,Secondary / secondary special,Sales staff,Cash loans,1,33,0,112500.0,0.2432,533304.0,27360.0,0.2109
361,Civil marriage,Secondary / secondary special,Sales staff,Cash loans,1,37,0,112500.0,0.3398,792162.0,38241.0,0.142
362,Widow,Secondary / secondary special,Core staff,Cash loans,1,44,0,180000.0,0.2025,755190.0,36459.0,0.2384
363,Civil marriage,Secondary / secondary special,Sales staff,Cash loans,1,36,1,135000.0,0.2333,521280.0,31500.0,0.259
364,Separated,Secondary / secondary special,n.a.,Cash loans,1,55,0,112500.0,0.11926,454500.0,13419.0,0.2476
365,Married,Secondary / secondary special,Sales staff,Cash loans,1,39,0,54000.0,0.1703,91692.0,9198.0,0.589
366,Single / not married,Higher education,Managers,Cash loans,0,52,1,450000.0,0.07117,900000.0,32017.5,0.5
367,Married,Higher education,High skill tech staff,Cash loans,1,44,0,472500.0,0.09094,1327648.5,42957.0,0.356
368,Separated,Secondary / secondary special,Laborers,Cash loans,0,50,0,112500.0,0.11053,117162.0,12433.5,0.9604
369,Married,Higher education,Core staff,Cash loans,1,35,0,90000.0,0.2251,688500.0,20259.0,0.1307
370,Married,Higher education,Managers,Cash loans,1,36,1,67500.0,0.451,450000.0,30442.5,0.15
371,Married,Higher education,Drivers,Cash loans,1,54,0,90000.0,0.3994,1224990.0,35946.0,0.0735
372,Married,Secondary / secondary special,Laborers,Cash loans,0,42,0,180000.0,0.1488,629325.0,26793.0,0.2861
373,Married,Secondary / secondary special,Core staff,Cash loans,1,23,0,90000.0,0.1904,157914.0,17136.0,0.57
374,Civil marriage,Secondary / secondary special,Laborers,Cash loans,1,53,0,157500.0,0.3018,1724220.0,47542.5,0.0914
375,Married,Secondary / secondary special,Secretaries,Cash loans,1,28,1,90000.0,0.2808,495000.0,25272.0,0.1818
376,Civil marriage,Secondary / secondary special,Sales staff,Cash loans,1,43,0,157500.0,0.2886,472500.0,45454.5,0.3333
377,Separated,Secondary / secondary special,Medicine staff,Cash loans,1,48,0,202500.0,0.1497,280170.0,30303.0,0.7227
378,Separated,Secondary / secondary special,n.a.,Cash loans,1,45,0,112500.0,0.1449,450000.0,16294.5,0.25
379,Married,Secondary / secondary special,Sales staff,Revolving loans,1,53,0,112500.0,0.18,405000.0,20250.0,0.2778
380,Married,Secondary / secondary special,n.a.,Cash loans,1,58,0,67500.0,0.4585,817560.0,30951.0,0.0826
381,Married,Secondary / secondary special,High skill tech staff,Cash loans,0,22,0,81000.0,0.2827,312840.0,22891.5,0.259
382,Married,Secondary / secondary special,n.a.,Cash loans,1,65,0,40500.0,0.1837,127350.0,7438.5,0.318
383,Civil marriage,Secondary / secondary special,n.a.,Cash loans,1,55,0,135000.0,0.0846,269550.0,11416.5,0.501
384,Married,Secondary / secondary special,Cooking staff,Cash loans,1,51,1,148500.0,0.216,805536.0,32076.0,0.1843
385,Widow,Secondary / secondary special,n.a.,Cash loans,1,63,0,144000.0,0.1617,456273.0,23296.5,0.3157
386,Married,Secondary / secondary special,Sales staff,Cash loans,1,32,0,202500.0,0.1249,598486.5,25290.0,0.3384
387,Separated,Higher education,Laborers,Cash loans,1,46,0,157500.0,0.1758,942300.0,27679.5,0.1671
388,Married,Secondary / secondary special,Laborers,Cash loans,1,53,0,144000.0,0.1179,446931.0,16978.5,0.3223
389,Married,Secondary / secondary special,n.a.,Cash loans,0,51,0,171000.0,0.2128,1009566.0,36391.5,0.1694
390,Married,Higher education,n.a.,Cash loans,0,33,1,247500.0,0.1108,521280.0,27423.0,0.4749
391,Married,Higher education,Managers,Revolving loans,0,37,0,607500.0,0.1111,1350000.0,67500.0,0.45
392,Married,Higher education,Core staff,Cash loans,1,31,0,135000.0,0.1798,830214.0,24273.0,0.1626
393,Married,Secondary / secondary special,Drivers,Cash loans,0,33,0,211500.0,0.126,545040.0,26640.0,0.388
394,Single / not married,Higher education,Core staff,Revolving loans,1,24,0,211500.0,0.06384,270000.0,13500.0,0.783
395,Married,Secondary / secondary special,n.a.,Cash loans,1,56,1,90000.0,0.2913,808650.0,26217.0,0.11127
396,Single / not married,Secondary / secondary special,Drivers,Revolving loans,0,43,0,270000.0,0.04166,225000.0,11250.0,1.2
397,Single / not married,Higher education,n.a.,Revolving loans,1,26,1,315000.0,0.0857,540000.0,27000.0,0.5835
398,Married,Secondary / secondary special,Core staff,Cash loans,1,43,0,252000.0,0.06635,288873.0,16713.0,0.8726
399,Civil marriage,Secondary / secondary special,Laborers,Cash loans,0,44,1,111919.5,0.0707,152820.0,7911.0,0.7324
400,Married,Secondary / secondary special,n.a.,Cash loans,1,39,1,112500.0,0.1357,263686.5,15268.5,0.4268
401,Single / not married,Secondary / secondary special,Drivers,Cash loans,0,26,1,112500.0,0.1569,345510.0,17640.0,0.3257
402,Married,Secondary / secondary special,Laborers,Cash loans,0,43,1,135000.0,0.1532,545040.0,20677.5,0.2477
403,Single / not married,Secondary / secondary special,Laborers,Cash loans,1,49,1,81000.0,0.164,225000.0,13284.0,0.36
404,Married,Secondary / secondary special,n.a.,Cash loans,1,50,1,112500.0,0.2122,900000.0,23872.5,0.125
405,Married,Higher education,Managers,Revolving loans,0,28,0,450000.0,0.15,1350000.0,67500.0,0.3333
406,Married,Higher education,n.a.,Cash loans,1,42,0,225000.0,0.1754,1345500.0,39469.5,0.1672
407,Married,Secondary / secondary special,Laborers,Cash loans,1,41,0,112500.0,0.3176,697500.0,35743.5,0.1613
408,Married,Secondary / secondary special,Laborers,Cash loans,0,38,0,135000.0,0.1964,545040.0,26509.5,0.2477
409,Married,Higher education,Managers,Cash loans,0,44,0,405000.0,0.1276,1483231.5,51687.0,0.273
410,Married,Higher education,Managers,Revolving loans,0,63,1,450000.0,0.1,900000.0,45000.0,0.5
411,Separated,Higher education,Accountants,Revolving loans,1,55,0,405000.0,0.0611,495000.0,24750.0,0.8184
412,Married,Secondary / secondary special,Laborers,Cash loans,0,50,0,225000.0,0.1392,509922.0,31324.5,0.4412
413,Married,Secondary / secondary special,Drivers,Cash loans,0,37,0,112500.0,0.2009,284400.0,22599.0,0.3955
414,Married,Secondary / secondary special,Laborers,Cash loans,1,32,0,90000.0,0.2247,393543.0,20223.0,0.2286
415,Single / not married,Secondary / secondary special,Laborers,Revolving loans,0,26,0,90000.0,0.1,180000.0,9000.0,0.5
416,Single / not married,Secondary / secondary special,IT staff,Cash loans,0,27,1,450000.0,0.1117,473760.0,50269.5,0.9497
417,Married,Secondary / secondary special,Laborers,Revolving loans,0,48,0,180000.0,0.15,540000.0,27000.0,0.3333
418,Civil marriage,Secondary / secondary special,Medicine staff,Cash loans,1,50,0,112500.0,0.1504,445500.0,16924.5,0.2524
419,Married,Secondary / secondary special,Security staff,Revolving loans,0,31,1,270000.0,0.15,810000.0,40500.0,0.3333
420,Widow,Secondary / secondary special,n.a.,Cash loans,1,65,0,58500.0,0.222,172021.5,12991.5,0.34
421,Married,Secondary / secondary special,n.a.,Cash loans,0,45,1,121500.0,0.1875,630747.0,22783.5,0.1926
422,Single / not married,Higher education,Core staff,Cash loans,1,41,1,270000.0,0.0892,364896.0,24075.0,0.7397
423,Married,Secondary / secondary special,Laborers,Cash loans,0,54,0,90000.0,0.2869,238500.0,25816.5,0.3774
424,Separated,Secondary / secondary special,Security staff,Cash loans,0,26,1,135000.0,0.2866,755190.0,38686.5,0.1787
425,Married,Secondary / secondary special,Drivers,Cash loans,0,32,1,193500.0,0.08875,314100.0,17167.5,0.616
426,Separated,Higher education,Core staff,Cash loans,1,34,0,450000.0,0.1279,716161.5,57550.5,0.6284
427,Married,Higher education,n.a.,Cash loans,1,51,0,270000.0,0.1544,1288350.0,41692.5,0.2096
428,Married,Secondary / secondary special,n.a.,Cash loans,1,36,1,112500.0,0.2634,832500.0,29623.5,0.1351
429,Married,Secondary / secondary special,Sales staff,Cash loans,1,51,0,450000.0,0.07336,1125000.0,33025.5,0.4
430,Single / not married,Secondary / secondary special,Low-skill Laborers,Revolving loans,0,24,0,135000.0,0.06665,180000.0,9000.0,0.75
431,Married,Secondary / secondary special,n.a.,Cash loans,0,45,0,112500.0,0.2213,485190.0,24903.0,0.2318
432,Civil marriage,Secondary / secondary special,n.a.,Cash loans,1,36,0,225000.0,0.1643,678996.0,36963.0,0.3313
433,Single / not married,Secondary / secondary special,Laborers,Cash loans,1,50,1,202500.0,0.1759,840951.0,35631.0,0.2408
434,Single / not married,Higher education,Laborers,Cash loans,0,37,1,247500.0,0.1204,1125000.0,29808.0,0.22
435,Married,Higher education,Core staff,Cash loans,1,44,0,202500.0,0.2058,485640.0,41674.5,0.417
436,Married,Secondary / secondary special,n.a.,Cash loans,1,61,0,189000.0,0.1844,876019.5,34870.5,0.2157
437,Single / not married,Secondary / secondary special,Core staff,Cash loans,1,50,0,157500.0,0.08044,187704.0,12672.0,0.839
438,Married,Secondary / secondary special,Security staff,Cash loans,0,47,0,225000.0,0.1102,675000.0,24799.5,0.3333
439,Married,Secondary / secondary special,n.a.,Cash loans,0,40,0,112500.0,0.1444,345645.0,16240.5,0.3254
440,Civil marriage,Secondary / secondary special,Sales staff,Cash loans,0,21,1,202500.0,0.2078,450000.0,42075.0,0.45
441,Married,Higher education,Managers,Cash loans,1,50,0,450000.0,0.1378,1971072.0,62019.0,0.2283
442,Separated,Secondary / secondary special,n.a.,Cash loans,1,60,0,90000.0,0.1368,339241.5,12312.0,0.2654
443,Married,Secondary / secondary special,Sales staff,Cash loans,1,31,1,85500.0,0.2252,454500.0,19255.5,0.1881
444,Married,Secondary / secondary special,n.a.,Cash loans,1,50,0,180000.0,0.2004,848745.0,36090.0,0.212
445,Married,Higher education,n.a.,Cash loans,0,41,0,270000.0,0.1063,265306.5,28701.0,1.018
446,Married,Secondary / secondary special,Laborers,Cash loans,1,48,0,157500.0,0.2786,1032093.0,43857.0,0.1526
447,Single / not married,Secondary / secondary special,n.a.,Cash loans,1,56,1,157500.0,0.0743,117000.0,11700.0,1.346
448,Widow,Secondary / secondary special,n.a.,Revolving loans,1,62,0,117000.0,0.08655,202500.0,10125.0,0.5776
449,Widow,Secondary / secondary special,n.a.,Cash loans,1,52,1,112500.0,0.2461,625536.0,27684.0,0.1798
450,Single / not married,Secondary / secondary special,Laborers,Revolving loans,1,55,0,135000.0,0.1,270000.0,13500.0,0.5
451,Married,Secondary / secondary special,n.a.,Revolving loans,1,56,1,157500.0,0.0714,225000.0,11250.0,0.7
452,Married,Secondary / secondary special,n.a.,Cash loans,1,29,0,180000.0,0.1161,343683.0,20898.0,0.524
453,Married,Secondary / secondary special,Low-skill Laborers,Cash loans,0,50,0,225000.0,0.2349,1096020.0,52857.0,0.2053
454,Married,Secondary / secondary special,n.a.,Cash loans,0,29,0,112500.0,0.1843,284400.0,20740.5,0.3955
455,Civil marriage,Secondary / secondary special,Laborers,Cash loans,0,41,0,157500.0,0.0725,215640.0,11421.0,0.7305
456,Married,Secondary / secondary special,Drivers,Cash loans,0,36,1,144000.0,0.0573,90000.0,8253.0,1.6
457,Civil marriage,Higher education,Accountants,Revolving loans,1,25,1,112500.0,0.12,270000.0,13500.0,0.4167
458,Married,Secondary / secondary special,n.a.,Cash loans,1,40,0,90000.0,0.2207,675000.0,19867.5,0.1333
459,Single / not married,Higher education,Core staff,Cash loans,1,24,0,135000.0,0.132,269550.0,17820.0,0.501
460,Married,Secondary / secondary special,Sales staff,Cash loans,1,49,0,135000.0,0.2578,770292.0,34807.5,0.1753
461,Married,Higher education,Core staff,Cash loans,1,33,0,112500.0,0.2223,904500.0,25002.0,0.1244
462,Civil marriage,Secondary / secondary special,Laborers,Cash loans,0,50,0,99000.0,0.1322,277969.5,13086.0,0.3562
463,Married,Secondary / secondary special,Laborers,Revolving loans,0,42,0,121500.0,0.1573,382500.0,19125.0,0.3176
464,Married,Secondary / secondary special,Laborers,Cash loans,1,38,1,157500.0,0.09174,256500.0,14449.5,0.6143
465,Civil marriage,Secondary / secondary special,Laborers,Cash loans,0,56,1,90000.0,0.1292,225000.0,11619.0,0.4
466,Married,Secondary / secondary special,Sales staff,Cash loans,1,39,0,99000.0,0.4248,787131.0,42066.0,0.1257
467,Married,Higher education,Accountants,Cash loans,1,31,0,180000.0,0.2092,1044724.5,37656.0,0.1722
468,Married,Secondary / secondary special,Security staff,Cash loans,0,44,1,157500.0,0.155,450000.0,24412.5,0.35
469,Single / not married,Secondary / secondary special,Core staff,Cash loans,0,40,0,184500.0,0.1206,225000.0,22252.5,0.82
470,Single / not married,Secondary / secondary special,Medicine staff,Cash loans,1,25,0,157500.0,0.1708,338832.0,26901.0,0.4648
471,Single / not married,Secondary / secondary special,Sales staff,Cash loans,1,29,1,180000.0,0.2406,900000.0,43299.0,0.2
472,Married,Secondary / secondary special,Medicine staff,Cash loans,1,44,0,112500.0,0.1,156339.0,11245.5,0.7197
473,Separated,Secondary / secondary special,n.a.,Cash loans,1,55,0,157500.0,0.1696,225000.0,26703.0,0.7
474,Single / not married,Secondary / secondary special,Sales staff,Cash loans,1,37,0,96750.0,0.1362,252000.0,13176.0,0.384
475,Married,Secondary / secondary special,n.a.,Cash loans,1,52,0,144000.0,0.2065,1012500.0,29736.0,0.1422
476,Married,Secondary / secondary special,n.a.,Cash loans,0,64,0,67500.0,0.321,508495.5,21672.0,0.1327
477,Married,Secondary / secondary special,High skill tech staff,Cash loans,0,27,1,211500.0,0.1035,450000.0,21888.0,0.47
478,Single / not married,Secondary / secondary special,Private service staff,Cash loans,1,45,0,225000.0,0.126,545040.0,28350.0,0.4128
479,Married,Higher education,Laborers,Cash loans,1,37,0,247500.0,0.0977,669591.0,24178.5,0.3696
480,Married,Higher education,Managers,Cash loans,1,32,0,225000.0,0.1381,1125000.0,31068.0,0.2
481,Single / not married,Secondary / secondary special,Sales staff,Cash loans,1,33,1,112500.0,0.1532,337500.0,17230.5,0.3333
482,Widow,Secondary / secondary special,n.a.,Cash loans,1,62,0,58500.0,0.0848,50940.0,4959.0,1.148
